"id";"emo_detail";"manufacture";"serial_number";"type";"power_rate";"power_unit";"voltage";"current_nominal";"frequency";"pole";"rpm";"bearing_de";"bearing_nde";"frame_type";"shaft_diameter";"phase_supply";"cos_phi";"efficiency";"ip_rating";"insulation_class";"duty";"connection_type";"nipple_grease";"greasing_type";"greasing_qty_de";"greasing_qty_nde";"length";"width";"height";"weight";"cooling_fan";"mounting"
"859";"EMO000464";"ABB";"462";"MBT";"18.5";"kW";"380";"39";"50";"4";"1470";;;"160L";"0";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"860";"EMO001060";"TECO";;"AEEB";"15";"kW";"380";"29.4";"50";"4";"1455";"6309";"6307";"160M";"0";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"861";"EMO000467";"ABB";"MK161005-AD";"MBT";"15";"kW";"380";"30";"50";"4";"1460";;;"160L";"0";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"862";"EMO000468";"TECO";"MN60170-1";"AEEBWA";"22";"kW";"380";"45.9";"50";"6";"965";"6312";"6212";"200L";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"863";"EMO000469";"CGE";"273954062";"C225S";"37";"kW";"380";"70";"50";"4";"1470";;;"225S";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"864";"EMO000470";"TECO";"9060002";"AEEBAC";"55";"kW";"380";"108";"50";"6";"970";"NU218";"6214";"280SC";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"865";"EMO000471";"ASGEN";"616357";"280M";"55";"kW";"380";"108";"50";"6";"960";;;"280SC";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"866";"EMO000472";"XDJ";"911038";"C225S";"37";"kW";"380";"70.4";"50";"4";"1480";"6313";"6313";"225";"0";"3";;;"44";"B";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"867";"EMO002949";"ABB";"MK4281636-A";"HXR";"45";"kW";"380";"86";"50";"6";"986";"6316";"6315";"280S";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"868";"EMO000474";"TECO";"9060003";"AEEBAC";"55";"kW";"380";"108";"50";"6";"970";"NU219";"6213";"280S";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"869";"EMO000476";"ABB";"1701007-AP";"MBT";"22";"kW";"380";"44";"50";"4";"1470";;;"180L";"0";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"870";"EMO000545";"ROTOR-ni";"730494-3";"XF200L";"22";"kW";"380";"44.5";"50";"6";"970";;;"200L";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"871";"EMO000481";"TECO";"K96068907";"AEEBCB";"37";"kW";"380";"70.9";"50";"4";"1455";"6313";"6213";"225";"0";"3";;;"54";"F";"S1";"Delta";"Available";;"0";"0";"0";"0";"225";"0";"Internal";"Horizontal"
"872";"EMO000105";"ABB";;"MBT";"7.5";"kW";"380";"16";"50";"4";"1470";"6208";"6206";"132M";"0";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"873";"EMO000487";"FUJI ELECTRIK";"1,52091E+12";"MLA";"7.5";"kW";"380";"15";"50";"4";"1460";"6308";"6209";"150M";"0";"3";;;"44";"B";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"874";"EMO003727";"ABB";"4439VM";"HXA";"7.5";"kW";"380";"16.3";"50";"4";"1440";"6308";"6307";"132";"38";"3";"0.82";;"55";"F";"S1";"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"875";"EMO000489";"BENLLERS";;"FC";"7.5";"kW";"380";"16";"50";"4";"1445";;;"132M";"0";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"876";"EMO000491";"MEZ";"2571911";"4AP";"7.5";"kW";"380";"15";"50";"4";"1450";;;"132M";"0";"3";"0.86";;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"877";"EMO000490";"BENLLERS";"9239453";"FC132M";"7.5";"kW";"380";"16.3";"50";"4";"1450";;;"132M";"0";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"878";"EMO003782";"BAUER";;"SG335";"0.11";"kW";"380";"0.55";"50";"4";"1320";;;;"0";"3";"0.84";;"68";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"879";"EMO003526";"TECO";"E3152187092";"AEVF";"3.7";"kW";"380";"8.03";"50";"4";"1445";"6306";"6306";"112M";"0";"3";;;"54";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"880";"EMO000496";"TECO";"M242001";"AEAF";"15";"kW";"380";"29";"50";"4";"1450";"6313";"6307";"160L";"0";"3";;;"54";"F";"S1";"Delta";"Available";;"0";"0";"0";"0";"160";"0";"Internal";"Horizontal"
"881";"EMO000495";"ABB";"MK161004-MD";"MBT";"11";"kW";"380";"23";"50";"4";"1455";;;"160 M";"0";"3";;;"55";"F";"S1";"Delta";"Not Available";;"0";"0";"0";"0";"160";"0";"Internal";"Horizontal"
"882";"EMO000497";"TECO";"1730380102";"AEVF";"3.7";"kW";"380";"8.03";"50";"4";"1445";"6306";"6306";;"0";"3";;;"54";"E";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"883";"EMO000499";"TECO";"1963110040";"AEVF";"7.5";"kW";"380";"15";"50";"4";"1450";"6306";"6309";"132M";"0";"3";;;"54";"B";"S1";"Delta";"Not Available";;"0";"0";"0";"0";"132";"0";"Internal";"Vertical"
"884";"EMO000570";"TECO";"K040614 -2";"AEEB";"75";"kW";"380";"143";"50";"6";"975";"6318";"6316";"280M";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"885";"EMO000672";"ABB";"1010309";"M2BA";"15";"kW";"380";"29.5";"50";"4";"1460";"6309";"6309";"160L";"0";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"886";"EMO000717";"ABB";"3334829";"M2BA";"200";"kW";"380";"366";"50";"4";"1480";"6319";"6316";"315M";"0";"3";"0.87";;"55";"F";"S1";;"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"887";"EMO000885";"ABB";;"M2BA";"30";"kW";"380";"59";"50";"4";"1475";;;"200L";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"888";"EMO000913";"TECO";"K 050409 - 1";"AEEB";"22";"kW";"380";"44.3";"50";"4";"1470";;"6310";"180L";"48";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"279";"279";"180";"0";"Internal";"Horizontal"
"889";"EMO000978";"TECO";"758347058";"AEEBKP";"55";"kW";"380";"105";"50";"4";"1470";"6316";"6213";"250S";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"890";"EMO003408";"ABB";"MK 17 1008- AD";"MBT";"30";"kW";"380";"61";"50";"4";"1475";;;"200L";"0";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"891";"EMO002151";"ABB";"78641477";"MBV 280S";"75";"kW";"380";"145";"50";"4";"1480";;;"280SC";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"892";"EMO002450";"ABB";"MK271013AD";"MBV 280S";"75";"kW";"380";"145";"50";"4";"1480";;;"280";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"893";"EMO002913";"TECO";"758347038";"AEEBKP";"55";"kW";"380";"105";"50";"4";"1470";"6316";"6213";"250S";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"894";"EMO003133";"LEROY SOMER";;"LS";"37";"kW";"380";"74";"50";"4";"1470";"6313";"6214";"225S";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"895";"EMO000520";"ABB";"MK171011-AO";"MBT";"55";"kW";"380";"108";"50";"4";"1480";"--";"--";"250M";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"896";"EMO003580";"BAUER";"1895530";"SG335";"0.11";"kW";"380";"0.55";"50";"4";"1320";;;;"0";"3";"0.84";;"68";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"897";"EMO003632";"MARATHON";"3200003221.J";"HJN1";"22";"kW";"380";"42.4";"50";"4";"1470";;;"180L";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"898";"EMO003635";"MARATHON";"3,20003E+14";"HK";"45";"kW";"380";"90.1";"50";"8";"735";"NU317";"6317";"280";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"899";"EMO003657";"MARATHON";"66744605j";"HJN1";"30";"kW";"380";"57.7";"50";"4";"1470";"6312";"6312";"200L";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"900";"EMO000412";"STROMBERG";"2041MP2";"HXUR";"11";"kW";"380";"21.9";"50";"6";"960";"6309";"6307";"160";"0";"3";;;"55";"F";"S1";"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"901";"EMO000085";"TECO";"P9723112";"AEEBKA";"22";"kW";"380";"46.9";"50";"6";"970";"6312";"6212";"200";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"902";"EMO000193";"ABB";;"qu";"4";"kW";"380";"8.9";"50";"4";"1430";;;"112";"0";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"903";"EMO000368";"TECO";"9j60020";"AEEBAC";"11";"kW";"380";"23.7";"50";"6";"965";"6309";"6307";"160L";"0";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"904";"EMO000370";"ABB";"3180321-5368";"HXR";"55";"kW";"380";"107";"50";"4";"1475";"6315";"6313";"250M";"0";"3";"0.84";;"55";"F";;"Delta";"Available";;"0";"0";"349";"406";"250";"0";"Internal";"Horizontal"
"905";"EMO000372";"ABB";"3300840";"M2BA";"75";"kW";"380";"140";"50";"4";"1481";"6316";"6316";"280S";"0";"3";"0.87";;"55";"F";;"Delta";"Available";;"0";"0";"368";"457";"280";"0";"Internal";"Horizontal"
"906";"EMO000498";"YASKAWA";"175";"FELF-5";"11";"kW";"380";"22";"50";"4";"1455";;;;"0";"3";;;;;;;"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"907";"EMO000376";"TECO";"C 065669-1";"AEJH-VB001";"250";"kW";"3000";"62.9";"50";"8";"740";"NU330";"6322";"400AC";"0";"3";;;"55";"F";;;"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"908";"EMO000377";"ABB";"  00 664";"HXA";"4";"kW";"380";"8.7";"50";"4";"1425";"6307";"6206";"112M";"0";"3";"0.83";;"55";"F";;;"Not Available";;"0";"0";"140";"190";"112";"0";"Internal";"Horizontal"
"909";"EMO000378";"ABB";"00 665";"HXA";"4";"kW";"380";"8.7";"50";"4";"1425";"6307";"6206";"112M";"0";"3";"0.83";;"55";"F";;;"Not Available";;"0";"0";"140";"190";"112";"0";"Internal";"Horizontal"
"910";"EMO000380";"ABB";"  00 667";"HXA";"4";"kW";"380";"8.7";"50";"4";"1425";"6307";"6206";"112M";"0";"3";"0.83";;"55";"F";;;"Not Available";;"0";"0";"140";"190";"112";"0";"Internal";"Horizontal"
"911";"EMO000381";"ABB";"  00 668";"HXA";"4";"kW";"380";"8.7";"50";"4";"1425";"6307";"6206";"112M";"0";"3";"0.83";;"55";"F";;;"Not Available";;"0";"0";"140";"190";"112";"0";"Internal";"Horizontal"
"912";"EMO002850";"ABB";"00 215";"MBT";"37";"kW";"380";"74";"50";"4";"1475";"6214";"6214";"225S";"0";"3";;;"55";"F";;;"Available";;"0";"0";"286";"356";"225";"0";"Internal";"Horizontal"
"913";"EMO000383";"ABB";"3344509";"M2BA";"200";"kW";"380";"370";"50";"6";"991";"6322";"6319";"355";"100";"3";"0.86";;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"914";"EMO000384";"ABB";;"M2BA";"45";"kW";"380";"86";"50";"4";"1475";"6313";"6313";"225S";"0";"3";;;"55";"F";;;"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"915";"EMO004242";"MARATHON";"AK1519650i J";"HJN1";"45";"kW";"380";"85.8";"50";"6";"985";"nu317";"6317";;"0";"3";"0.86";;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";
"916";"EMO000051";"ABB";;"QU112M4AT";"4";"kW";"380";"8.95";"50";"4";"1430";"6205";"6205";"112M";"0";"3";;;"55";"F";;;"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"917";"EMO004243";"MARATHON";"AK15196601 J";"HJN1";"55";"kW";"380";"103";"50";"4";"1480";;;;"0";"3";"0.87";;;;;;;;"0";"0";"0";"0";"0";"0";;
"918";"EMO000391";"ABB";"3180224 - 5887";"HXR";"55";"kW";"380";"112";"50";"8";"740";"6319";"6316";;"0";"3";"0.81";;"55";"F";"S1";"Delta";;;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"919";"EMO000392";"ABB";"31833561 - 7915 RM";"HXR";"37";"kW";"380";"71";"50";"6";"984";"6315";"6313";;"0";"3";"0.85";;"55";"F";"S1";"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"920";"EMO000393";"ABB";"318440 - 5988 RM";"HXR";"30";"kW";"380";"61";"50";"6";"985";"6313";"6312";;"0";"3";;;"55";"F";"S1";"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"921";"EMO000400";"TECO";"9K50001";"AEEBAC";"15";"kW";"380";"31.5";"50";"6";"965";"6311";"6310";"180L";"0";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"922";"EMO000402";"ABB";"9K60017";"AEEBAC";"15";"kW";"380";"15";"50";"6";"960";"6311";"6310";"180";"0";"3";;;"50";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"923";"EMO000404";"ABB";"MK171005";"MBT";"15";"kW";"380";"30";"50";"4";"1470";"--";"--";"160";"0";"3";"0.79";;"50";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"924";"EMO000726";"ABB";;"MBT";"15";"kW";"380";"30";"50";"4";"1470";"--";"--";"160";"0";"3";"0.83";;"50";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"925";"EMO000408";"ABB";"MK171008AD";"MBT";"30";"kW";"380";"61";"50";"4";"1475";;;"200L";"0";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"926";"EMO000409";"HUADA";"5866103011";"Y2";"22";"kW";"380";"42";"50";"4";"1470";;;"180L";"0";"3";"0.85";;"55";"F";;"Delta";;;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"927";"EMO000485";"ABB";;"MBT";"15";"kW";"380";"30";"50";"4";"1460";"6209";"6209";"160L";"0";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"210";"254";"160";"0";"Internal";"Horizontal"
"928";"EMO000413";"ABB";"MK171011";"MBT";"55";"kW";"380";"108";"50";"4";"1480";"--";"--";"225S";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"929";"EMO000731";"TATUNG";"1540608";"FBFC";"11";"kW";"380";"22";"50";"4";"1445";;;"160M";"42";"3";;;"55";"F";;;"Not Available";;"0";"0";"210";"254";"160";"0";"Internal";"Horizontal"
"930";"EMO000416";"ABB";"MK 17 1008- AD";"MBT";"30";"kW";"380";"61";"50";"4";"1475";"6213";"6211";"200LA";"55";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"305";"318";"200";"0";"Internal";"Horizontal"
"931";"EMO000417";"ABB";"MK 17 1009- AD";"MBT";"37";"kW";"380";"74";"50";"4";"1480";"6214";"6214";"225SM";"60";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"286";"356";"225";"0";"Internal";"Horizontal"
"932";"EMO003417";"CGE";"3369975";"C132M";"7.5";"kW";"380";"15";"50";"4";"1470";;;"132M";"0";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"178";"216";"132";"0";"Internal";"Horizontal"
"933";"EMO001684";"ABB";;"MBT";"45";"kW";"380";"86";"50";"4";"1473";"--";"--";"225";"0";"3";;;"55";"F";"S1";"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"934";"EMO004978";"ASEA";"406-B012";"M 200 L";"30";"kW";"380";"61";"50";"4";"1470";"--";"--";"200L";"0";"3";;;"55";"F";"S1";"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"935";"EMO003478";"SIEMENS";"647161";"IGH9174";"30";"kW";"400";"76";"50";"4";"1475";"NU 311";"6309";"200L";"0";"3";;;;"B";"S1";;"Available";;"0";"0";"0";"0";"0";"0";;"Horizontal"
"936";"EMO000423";"ABB";"MK171006";"MBT";"18.5";"kW";"380";"39";"50";"4";"1475";"--";"--";"180";"0";"3";"0.79";;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"937";"EMO000755";"ABB";"7864201";"MBV 280S";"75";"kW";"380";"145";"50";"4";"1481";;;"280S";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";;
"938";"EMO000430";"ABB";"4439VM";"HXA";"7.5";"kW";"380";"16.3";"50";"4";"1440";;;"132SMD";"38";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"939";"EMO000429";"CGE";"902468";"K";"7.5";"HP";"380";"12.6";"50";"4";"1465";;;"160";"0";"3";;;;;;"Delta";"Not Available";;"0";"0";"210";"254";"160";"0";"Internal";"Horizontal"
"940";"EMO002130";"STROMBERG";;"HXUR ";"7.5";"kW";"380";"12";"50";"4";"1440";"6308";"6307";"132";"38";"3";;;;;"S1";;"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"941";"EMO003129";"SEW";"00 148";"SSG2WD71C4";"0.55";"kW";"380";"1.1";"50";"4";"1460";;;;"0";"3";;;;;;;"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"942";"EMO001676";"STROMBERG";;"HXUR ";"7.5";"kW";"380";"12";"50";"4";"1440";"6308";"6307";"132";"38";"3";;;;;"S1";;"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"943";"EMO000997";"ABB";"00 266";"MBT";"15";"kW";"380";"30";"50";"4";"1460";"6209";"6209";"160L";"42";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"210";"254";"160";"0";"Internal";"Horizontal"
"944";"EMO001616";"ABB";;"M3BP";"30";"kW";"380";"58";"50";"4";"1475";;;"200ML";"55";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"945";"EMO000341";"TECO";;"AEEB";"15";"kW";"380";"30";"50";"4";"1450";"6309";"6307";"160L";"0";"3";;;"55";"F";;;"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"946";"EMO002140";"TECO";"MN301187";"AEEBAC";"55";"kW";"380";"105";"50";"4";"1470";"NU216";"6213";"250SC";"70";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"311";"406";"250";"0";"Internal";"Horizontal"
"947";"EMO000758";"ASEA";"00 500";"M200L";"30";"kW";"380";"59";"50";"4";"1460";"6312";"6310";"200ML";"55";"3";;;;;;;;;"0";"0";"0";"0";"200";"0";"Internal";"Horizontal"
"948";"EMO000103";"ABB";"00 673";"MBT";"15";"kW";"380";"30";"50";"4";"1460";"6209";"6209";"160L";"42";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"210";"254";"160";"0";"Internal";"Horizontal"
"949";"EMO000411";"ABB";" 00 236";"MBT";"15";"kW";"380";"30";"50";"4";"1460";"6209";"6209";"160L";"0";"3";;;"55";"F";;;"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"950";"EMO000523";"ABB";" 00 353";"MBT";"22";"kW";"380";"44";"50";"4";"1475";"6211";"6210";;"0";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"180";"0";"Internal";"Horizontal"
"951";"EMO001666";"TECO";"6507420080";"AEEBKB";"22";"kW";"380";"44.3";"50";"4";"1455";"6311";"6310";"180L";"48";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"279";"279";"180";"0";"Internal";"Horizontal"
